DISPLAY_NAME,sku_id,NUME_PRODUS,NAME,Producator,Caracteristici principale,Diagonala Ecran,Camera,Memorie interna,Disponibil in magazin 
Toate Telefoanele,2413,Samsung Galaxy S9 Plus,Samsung Galaxy S9 Plus 256 GB Negru 4G+,Samsung,"Senzor Amprenta, Memorie Expandabila,Incarcare Wireless , Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,10-12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2414,Huawei P20,Huawei P20 Roz 4G,Huawei,"Senzor Amprenta, Memorie Expandabila, Rezistent la Apa",Peste 5.4inch ,Peste 12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2415,LG G7 ThinQ 4G,LG G7 ThinQ Negru 4G,LG,"Senzor Amprenta, Memorie Expandabila, Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,Peste 12 MP,64 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2416,Samsung Galaxy S9,Samsung Galaxy S9 64 GB Violet 4G+,Samsung,"Senzor Amprenta, Memorie Expandabila,Incarcare Wireless , Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,10-12 MP,64 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2417,iPhone 7,iPhone 7 128GB Negru 4G+,Iphone,"Senzor Amprenta,  Rezistent la Apa",Peste 5.4inch ,10-12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2418,iPhone 7,iPhone 7 32GB Negru 4G+,Iphone,"Senzor Amprenta,  Rezistent la Apa",4.5-5 inch,10-12 MP,32 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2419,Samsung Galaxy S9 Plus,Samsung Galaxy S9 Plus 64 GB Violet 4G+,Samsung,"Senzor Amprenta, Memorie Expandabila,Incarcare Wireless , Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,10-12 MP,64 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2420,Nokia 2,Nokia 2 Negru 4G,Nokia,"Memorie Expandabila, Mufa Jack ",4.5-5 inch,8-10 MP ,8 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2421,Vodafone Smart N8,Vodafone Smart N8 Auriu 4G,Vodafone,"Senzor Amprenta, Memorie Expandabila, Mufa Jack ",5-5.4 inch,Peste 12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2422,Vodafone Smart N9,Vodafone Smart N9 Negru,Vodafone,"Senzor Amprenta, Memorie Expandabila, Mufa Jack ",Peste 5.4inch ,Peste 12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2423,Nokia 3.1 4G,Nokia 3.1 Negru 4G,Nokia,"Memorie Expandabila, Mufa Jack ",4.5-5 inch,8-10 MP ,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2424,iPhone 7 Plus,iPhone 7 Plus 32GB Negru 4G+,Iphone,"Senzor Amprenta,  Rezistent la Apa",Peste 5.4inch ,10-12 MP,32 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2425,HTC U11,HTC U11 Negru 4G,HTC,"Senzor Amprenta, Memorie Expandabila, Mufa Jack, Rezistent la Apa  ",Peste 5.4inch ,10-12 MP,64 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2426,Huawei Mate 10 Pro,Huawei Mate 10 Pro Negru 4G+,huawei,"Senzor Amprenta, Memorie Expandabila, Mufa Jack ",Peste 5.4inch ,Peste 12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2427,Nokia 3310 2017,Nokia 3310 2017 Rosu,Nokia,"Memorie Expandabila, Mufa Jack ",Pana in 3.9 inch,Sub 5 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2428,Samsung GALAXY S7,Samsung Galaxy S7 32 GB 4G+ Auriu,Samsung,"Senzor Amprenta, Memorie Expandabila,Incarcare Wireless , Rezistent la Apa , Mufa Jack ",5-5.4 inch,10-12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2429,Vodafone  Smart Mini 7,Vodafone Smart Mini 7 Negru,Vodafone,"Memorie Expandabila, Mufa Jack ",4-4.4 inch,Sub 5 MP,Sub 8 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2430,iPhone SE,iPhone SE 32GB Negru 4G,Iphone,"Senzor Amprenta,  Rezistent la Apa,Mufa Jack ",4-4.4 inch,10-12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2431,Samsung GALAXY Note 8,Samsung GALAXY Note 8 4G+ Negru,Samsung,"Senzor Amprenta, Memorie Expandabila,Incarcare Wireless , Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,10-12 MP,64 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2432,Nokia 3,Nokia 3 Negru Mat 4G,Nokia,"Memorie Expandabila, Mufa Jack ",4.5-5 inch,8-10 MP ,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2433,LG K10 2017,LG K10 2017 Negru 4G,LG,"Senzor Amprenta, Memorie Expandabila,  Mufa Jack ",5-5.4 inch,Peste 12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2434,Samsung GALAXY J5 2017,Samsung GALAXY J5 2017 Auriu 4G,Samsung,"Senzor Amprenta, Memorie Expandabila,  Mufa Jack ",4.5-5 inch,Peste 12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2435,Samsung GALAXY J6 2018 4G,Samsung GALAXY J6 2018 4GNegru,Samsung,"Senzor Amprenta, Memorie Expandabila,  Mufa Jack ",Peste 5.4inch ,Peste 12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2436,Nokia 3.1 4G,Nokia 3.1 Alb 4G,Nokia,"Memorie Expandabila, Mufa Jack ",4.5-5 inch,8-10 MP ,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2437,Samsung Galaxy A6 4G+,Samsung Galaxy A6 4G+ Violet,Samsung,"Senzor Amprenta, Memorie Expandabila, Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,Peste 12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2438,Mobiwire Ayasha,Mobiwire Ayasha Negru,Mobiwire,"Memorie Expandabila, Mufa Jack ",Pana in 3.9 inch,Sub 5 MP,Sub 8 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2439,iPhone 6s,iPhone 6s 32GB Roz 4G+,Iphone,"Senzor Amprenta,  Rezistent la Apa,Mufa Jack ",4.5-5 inch,10-12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2440,iPhone X,iPhone X 256GB Negru 4G+,Iphone,"Senzor Amprenta, Incarcare Wireless , Rezistent la Apa",Peste 5.4inch ,10-12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2441,Huawei P20 Pro ,Huawei P20 Pro Negru 4G,Huawei,"Senzor Amprenta, Memorie Expandabila, Rezistent la Apa",Peste 5.4inch ,Peste 12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2442,Samsung GALAXY J3 2017,Samsung GALAXY J3 2017Auriu 4G,Samsung,"Memorie Expandabila, Mufa Jack ",4.5-5 inch,8-10 MP ,8 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2443,Wiko Tommy 2,Wiko Tommy 2 Negru,Wiko,"Memorie Expandabila, Mufa Jack ",4.5-5 inch,8-10 MP ,8 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2444,Samsung Galaxy S8,Samsung Galaxy S8 64 GB 4G+ Argintiu,Samsung,"Senzor Amprenta, Memorie Expandabila,Incarcare Wireless , Rezistent la Apa , Mufa Jack ",4.5-5 inch,10-12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
