dealer_name,city,county,address,telefon,email,luni,marti,miercuri,joi,vineri,sambata,duminica,latitudine,longitudine,profil_magazin,cod_postal
Magazin Vodafone - Bucuresti Magheru,Bucuresti,Bucuresti,"Bd.Magheru nr.2-4, Sector 1",720000350,VdfStoreBucharest-6_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,10:00 - 16:30,- - -,44.44095,26.10002,magazin la strada,010282
Magazin Vodafone - Bucuresti Mihalache,Bucuresti,Bucuresti,"Bd.Ion Mihalache nr.107, Sector 1",0727433700,VodafoneStoreBucurestiMihalache_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,10:00 - 15:00,- - -,44.46071,26.0742,magazin la strada,011176
Magazin Vodafone - Bucuresti Stefan cel Mare,Bucuresti,Bucuresti,"Sos.Stefan cel Mare nr.4, bl.14, parter, Sector 1",0721122133,VodafoneStoreBucharest-8_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,10:00 - 15:00,- - -,44.45302,26.09957,magazin la strada,011737
Magazin Vodafone - Bucuresti Grivita,Bucuresti,Bucuresti,"Calea Grivitei nr.236, bl.H, parter, Sector 1",0732866649,SayfoneBGrivita_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,10:00 - 14:00,- - -,44.47064,26.05079,magazin la strada,012131
Magazin Vodafone - Bucuresti Baneasa Mall,Bucuresti,Bucuresti,"Sos.Bucuresti-Ploiesti nr.42D, Complex Comercial Shopping City Baneasa - Aripa Mediagalaxy, Sector 1",724224894,VodafoneStoreBaneasa_ro@vodafone.com,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.507195,26.089546,magazin in magazin (mall),013696
Magazin Vodafone - Bucuresti Mosilor,Bucuresti,Bucuresti,"Calea Mosilor nr.290, Sector 2",722247132,VodafoneStoreBucharest-1_ro@vodafone.com,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,10:00 - 16:00,- - -,44.44488,26.12086,magazin la strada,021253
Magazin Vodafone - Bucuresti Kaufland Bravu,Bucuresti,Sector 3,"Str.Racari, nr.5, Complex Comercial Kaufland",722667299,FranchiseStoreBucurestiKauflandBravu@vodafone.com,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 20:00,44.41595,26.13551,magazin in magazin (mall),031827
Magazin Vodafone - Bucuresti Obor,Bucuresti,Bucuresti,"Sos.Mihai Bravu nr.2, bl.60B, parter, Sector 2",722669187,VodafoneStoreBucurestiObor_ro@vodafone.com,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,10:00 - 14:00,- - -,44.44855,26.12497,magazin la strada,021324
Magazin Vodafone - Bucuresti Pantelimon,Bucuresti,Bucuresti,"Sos.Pantelimon nr.243, bl.52, Sector 2",720123124,VodafoneBucurestiPiataDelfinu_ro@vodafone.com,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,- - -,- - -,44.44319,26.15577,magazin la strada,021652
Magazin Vodafone - Bucuresti Kaufland Colentina,Bucuresti,Bucuresti,"Str.Colentina nr.6, Complex Comercial Kaufland, Sector 2",721126838,DL-FranchiseStoreBucurestiKauflandColentina@vodafo,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,09:00 - 20:00,44.45387,26.12992,magazin in magazin (mall),021173
